Wavenumber (cm-1),File_processed (data/set),Lines_averaged,Comment,,,
1468,"324,1",1-3,bad fit; This is saved,,,
1468,"324,2","1-10X, 1-3",,,,
14675,"324,1",1-4,bad fit; This is saved,,,
14675,"324,1",6-7,,,,
1467,"324,1",1-13,,,,
14665,"324,1",1-7,I saved second one as profile,,,
1465,"324,1","5-16, 8-9X",This is saved,,,
1465,"324,1","5-16, 8-9X, 8-10",,,,
1463,"324,1",1-4,This is saved,,,
1463,"324,1",1-2,,,,
1461,"324,1","3-5X, 3X, 1-2/3-6",3-6 saved,,,
1450,"324,1","18-23X, 4-9X, 4-11X, 1-3/4-8",4-8 saved,,,
14685,"324,1",7-8/9-10,bad fit; not saved,,,
14695,"324,1",1-2,bad fit; not saved,,,
1470,"324,1","6-9X, 1-4",,,,
14725,"324,1",13-15/1-2,bad fit; not saved,,,
1473,"324,1",1-3,,,,
1475,~,1-3,,,,
1476,~,1-6,,,,
1477,~,9-10,,,,
1478,"324,1",All,,,,
1479,"324,1",1-15,,,,
1479,"324,1",All,This is saved,,,
1480,"324,1",All,This is saved,,,
1481,"324,1",All,This is saved,,,
1482,"324,1",All,This is saved,,,
1483,"324,1",1-17,,,,
1483,"324,1",1-3,This is saved,,,
1484,"324,2",~,,,,
14735,"324,1",All,,,,
1472,"324,1",All,,,,
14715,"324,1",1-2,This is saved,,,
1471,"324,1",All,,,,
14705,"324,1",All,,,,
1469,"324,1",All,,,,
1469,"324,1",1-18,This is saved,,,
14695,"324,1",All,This is saved,,,
14675,"324,1",All,,,,
14675,"324,1",1-2,This is saved,,,
1473,"324,1",All,,,,
1473,"324,1",1-6,,,,
1473,"324,1",1-2\6,This is saved,,,
1474,"324,1",All,,,,
1474,"324,1",4-6,,,,
1474,"324,2",1-6,This is saved,,,
1474,"324,3",1-8,,,,
14755,"324,1",1-4,,,,
14755,"324,1",All,,,,
14755,"324,1",1-12,,,,
14755,"324,1",13-16,This is saved,,,
14765,"324,1",1,,,,
14765,"324,1",All,This is saved,,,
14775,"324,1",All,This is saved,,,
14785,"324,1",All,This is saved,,,
14795,"324,1",All,This is saved,,,
