Wavenumber,Lp,Lambda,A,B,x_A,x_B,Epsilon,Slope
1450,1.9425,0.5945,0.0893,0.0047,1.1236,1.0379,0.9910,0.0118
1461,1.8887,0.4809,0.0741,0.0112,0.6736,0.6491,0.9980,-0.0100
1463,1.4715,0.4652,0.0973,0.0043,0.8861,-1.1858,0.9634,0.0161
1465,1.4112,0.4504,0.0866,0.0087,0.6311,0.1396,0.9658,0.0254
1466.5,1.6359,0.4343,0.0683,0.0028,0.3907,2.2657,0.9865,0.0300
1467,1.5405,0.4414,0.0838,0.0062,-0.0501,0.6600,0.9809,0.0244
1467.5,1.0000,0.4387,0.0888,0.0233,0.6169,0.6296,0.9775,0
1468,1.1949,0.4306,0.0925,0.0140,0.6103,0.5995,0.9874,0
1468.5,1.2166,0.4367,0.0895,0.0232,0.5958,1.0698,0.9713,0.0143
1469,1.3898,0.4244,0.0801,0.0057,0.5956,-0.5821,0.9936,2.2951E-04
1469.5,1.1610,0.4238,0.0919,0.0165,0.5877,0.1929,0.9840,0
1470,1.5615,0.4254,0.0798,0.0172,0.3761,1.0488,0.9810,-0.0039
1470.5,1.8091,0.4151,0.0649,0.0022,-0.0368,0.6276,0.9786,0.0317
1471,1.3696,0.4124,0.0807,0.0051,0.3721,0.6403,0.9784,0.0411
1471.5,1.4276,0.4097,0.0811,0.0120,0.5793,3.4721,0.9782,0
1472,1.4892,0.4160,0.0860,0.0045,0.5790,0.2576,0.9922,0.0233
1472.5,1.2918,0.4153,0.0831,0.0220,0.3614,0.5949,0.9937,0
1473,0.5002,0.4249,0.2504,0.0494,0.5791,1.0793,0.9784,0
1473.5,1.5801,0.3978,0.0720,0.0057,0.3651,0.6490,1.0032,-0.0063
1474,1.1343,0.3969,0.0797,0.0037,0.1590,0.9451,0.9713,0.0057
1475,1.6097,0.3912,0.0977,0.0110,0.5487,0.5677,0.9938,0
1475.5,1.6345,0.3886,0.0651,0.0113,0.1587,0.1344,0.9923,0.0300
1476,1.6046,0.3901,0.0779,0.0017,0.5436,-4.1583,0.9874,0.0012
1476.5,0.6997,0.4026,0.1414,0.0280,0.3492,0.6048,0.9777,0
1477,1.7596,0.3751,0.0688,0.0071,0.5338,0.8368,0.9654,0
1477.5,0.5095,0.4033,0.2028,0.0339,0.3452,-36.4811,0.9744,0
1478,1.8028,0.3755,0.0719,0.0053,0.5329,0.5698,0.9598,0.0681
1478.5,0.8242,0.3841,0.1358,0.0257,0.5289,0.5850,0.9694,0
1479,1.9184,0.3726,0.0681,0.0088,-2.2729,0.9107,0.9909,-0.0013
1479.5,1.3633,0.3641,0.0706,0.0046,0.8823,0.5398,0.9742,0
1480,1.8680,0.3626,0.0683,0.0049,0.8745,0.9606,0.9620,0.0221
1481,2.0727,0.3593,0.0704,0.0047,0.1538,0.1830,0.9721,0.0157
1482,2.4472,0.3567,0.0562,0.0044,-8.2366,3.7536,0.9379,0.0469
1483,1.3951,0.3568,0.0743,0.0186,0.6725,0.1639,0.9575,0.0332
1484,2.1596,0.3460,0.0569,0.0080,0.8345,0.8542,0.9719,0.0253
