freqnum,A1,Xc1,A2,Xc2,Lp,Lambdafit,Offset,resnorm,"st_ind
",End_ind,ind_start,ind_end
1,0.1071,9.9955,0.2526,2.4025,3,1,1,0.0039,5,54,170,223
2,0.2025,9.9706,0.4305,2.3666,3,1,1,0.0095,5,54,170,223
3,0.2231,2.6673,0.6295,3.3120,3,1.5,1,0.0001,5,54,170,223
4,0.1769,2.6627,0.5149,3.3201,3,1.5,1,0,5,54,170,223
5,0.2836,2.6177,0.7555,3.2682,3,1.5,1,0.0013,3,54,170,223
6,0.3725,3.0474,1.0791,3.8459,2.99,1.8,1,0.0037,3,54,170,227
7,0.4827,3.0571,1.3003,3.8439,2.99,1.8,1,0.0014,3,54,170,230
8,1.1305,4.7806,2.5332,3.8107,3,1.8,1,0.0053,3,54,170,230
9,0.6559,3.2474,1.4482,4.1609,3,2,1.2,6.49E-04,3,60,150,230
10,1.0438,3.2182,1.5685,4.1693`,1.7434,2,1.2,0.0032,3,60,130,230
11,1.0197,2.9854,1.4537,3.9857,2.9608,2,1.2,0.0062,3,60,130,225
12,0.6545,3.2738,0.6995,4.4667,1.1496,1.3232,1.1610,0.0086,7,80,90,200
13,0.1325,7.9776,0.0587,4.4768,1.7664,0.5636,1.3139,0.0689,5,80,90,195
14,0.1454,10,0.0116,2.4835,0.9345,0.3648,1.0159,0.0416,3,60,127,195
15,0.0095,4.9932,0.0590,2.0608,0.5710,0.1324,0.8544,0.0037,4,53,127,203
16,0.0091,4.9618,0.0820,1.9015,0.5546,0.1199,0.9136,0.0046,5,53,127,203
17,0.1709,6.0159,0.0420,1.8549,1.1488,0.4531,1.0520,0.0030,5,53,127,199
18,0.0450,4.9612,0.0897,3.0008,0.2280,0.1081,0.7508,0.0033,2,63,127,205
19,0.1077,4.9873,0.0827,3.0298,0.2583,0.0926,0.7324,0.0025,4,63,127,209
20,0.0467,4.9832,0.0658,2.9407,0.3356,0.0963,0.7983,0.0020,4,60,127,209
21,0.0150,4.9867,0.0477,2.9313,0.3957,0.0963,0.7873,0.0015,4,60,127,209
22,0.0254,4.9996,0.0512,2.9239,0.3568,0.0963,0.8332,0.0041,4,60,127,209
23,0.1441,4.9617,0.1239,2.9188,0.1897,0.0963,0.6438,0.0035,3,60,130,210
24,0.0349,4.9711,0.1530,2.9173,0.2514,0.0963,0.5364,0.0067,3,60,120,207
25,0.0105,4.9806,0.0383,2.9407,0.2968,0.0911,0.6152,0.0016,3,60,137,210
26,0.1541,4.9991,0.1586,2.9409,0.2093,0.0911,0.5860,0.0086,3,60,137,205
27,0.1369,5.0200,0.1917,2.9283,0.2273,0.0828,0.5660,0.0034,5,60,137,210
28,0.1861,5.0493,0.2282,3.0486,0.2237,0.0828,0.7800,0.0156,3,60,147,227
29,1.0207,5.0462,0.4521,3.0495,0.1722,0.0828,0.8200,0.0128,4,60,147,226
30,0.8544,4.9881,0.5744,2.9143,0.1635,0.0828,0.8,0.0118,5,60,157,226
